output_repo_commit_message	output_repo_branch	output_repo_commit_hash	project_repo_branch	project_repo_commit_hash	project_repo_directory_name	project_repo_remotes	python_sys_args	tags	options_hash	command
Test run; 	2025-07-29_09-31-15_main_1768f7f	2d9822a3ed92c9b9a73e990a048a79dfa2f04e53	main	1768f7f1d2e2e3655c3c0ae7ca69ba7889457dd1	RDM-Example-Rectangular-Pulse	['git@github.com:cadet/RDM-Example-Rectangular-Pulse.git']	['main.py']		f5ywb884bh4krchb69pytjjbzrranvww	
Test utf-8; 	2025-07-29_10-13-39_main_f8caec2	be56144e2714798e429cc0a1907b580da9d9f05c	main	f8caec2caaadee9b4e43abd448549449783fb3dd	RDM-Example-Rectangular-Pulse	['git@github.com:cadet/RDM-Example-Rectangular-Pulse.git']	['main.py']		f5ywb884bh4krchb69pytjjbzrranvww	
Test utf-8; 	2025-07-29_10-50-18_main_d74c652	d2f9b754c3d346f2ab5e19985a9e1f66ad947873	main	d74c6522c6b8b4ecdef8c35beb4e9c2fdfbd0063	RDM-Example-Rectangular-Pulse	['git@github.com:cadet/RDM-Example-Rectangular-Pulse.git']	['main.py']		f5ywb884bh4krchb69pytjjbzrranvww	
Test utf-8; 	2025-07-29_11-28-31_main_1695a36	fe9c3e15a1d732b17e100a95eb0e6f12157b3b49	main	1695a365db1e6399d652f7ec9d416fb672324c15	RDM-Example-GRM-For-Linear-LC	['git@github.com:cadet/RDM-Example-Rectangular-Pulse.git']	['main.py']		f5ywb884bh4krchb69pytjjbzrranvww	
Try run; 	2026-02-03_15-19-16_main_f85b03d	2f5c5eb855456dcf8e99ac0c94dad13e59f50fe0	main	f85b03d8c8d6f7e40e6adf198af1e331637ec9b9	RDM-Example-GRM-For-Linear-LC	['git@github.com:cadet/RDM-Example-Rectangular-Pulse.git']	['C:\\Users\\katha\\miniforge3\\envs\\rdm-editable-optional\\Scripts\\rdm', 'run', 'python', 'C:\\Users\\katha\\Dokumente_cadet\\cadet_case_studies\\RDM-Example-GRM-For-Linear-LC\\main.py', 'Try run']			python C:\Users\katha\Dokumente_cadet\cadet_case_studies\RDM-Example-GRM-For-Linear-LC\main.py
Run_trial; 	2026-02-03_15-34-38_main_f85b03d	cc55e91171c018225a4664a01650e0d2dfa88912	main	f85b03d8c8d6f7e40e6adf198af1e331637ec9b9	RDM-Example-GRM-For-Linear-LC	['git@github.com:cadet/RDM-Example-Rectangular-Pulse.git']	['C:\\Users\\katha\\miniforge3\\envs\\rdm-editable\\Scripts\\rdm', 'run', 'python', 'C:\\Users\\katha\\Dokumente_cadet\\cadet_case_studies\\RDM-Example-GRM-For-Linear-LC\\main.py', 'Run_trial']			python C:\Users\katha\Dokumente_cadet\cadet_case_studies\RDM-Example-GRM-For-Linear-LC\main.py
log for 'log for 'Rectangular Pulse Example; ' of branch '2026-02-20_15-37-07_main_b00849f_24f74a'; ' of branch 'main'; 	main	1a21a5f81509a0ddcd0c2bf6db81b06a8c7a47b0	test	f1c3276291c678f338daf9b92ad9ae7fbfa3ea73	RDM-Example-Rectangular-Pulse	['git@github.com:cadet/RDM-Example-Rectangular-Pulse.git']	['/home/IBT/lanzrath/miniforge3/envs/cadet_dev/bin/rdm', 'push']			
Rectangular Pulse Example; 	2026-02-20_15-26-48_main_b00849f_d07f5b	79d9f6e010658819718f843086b066cd28848a28	main	b00849fea3dd92b291cc8f4c06d107ec1ac0acd5	RDM-Example-Rectangular-Pulse	['git@github.com:cadet/RDM-Example-Rectangular-Pulse.git']	['main.py']			
Rectangular Pulse Example; 	2026-02-20_15-30-04_main_b00849f_3bb278	ca69fe0c17e9983a45727a5f054140592376bd9f	main	b00849fea3dd92b291cc8f4c06d107ec1ac0acd5	RDM-Example-Rectangular-Pulse	['git@github.com:cadet/RDM-Example-Rectangular-Pulse.git']	['main.py']			
Rectangular Pulse Example; 	2026-02-20_15-37-07_main_b00849f_24f74a	e33408bb31dd57ca532c436a72bf416cd8a2b22c	main	b00849fea3dd92b291cc8f4c06d107ec1ac0acd5	RDM-Example-Rectangular-Pulse	['git@github.com:cadet/RDM-Example-Rectangular-Pulse.git']	['main.py']			
Rectangular Pulse Example; 	2026-02-23_11-08-24_test_f1c3276_265fc7	0daa825332ed995b0cf10fdbbc5b8bbe5db31e4a	test	f1c3276291c678f338daf9b92ad9ae7fbfa3ea73	RDM-Example-Rectangular-Pulse	['git@github.com:cadet/RDM-Example-Rectangular-Pulse.git']	['main.py']		f5ywb884bh4krchb69pytjjbzrranvww	
Rectangular Pulse Example; 	2026-02-23_11-09-35_test_f1c3276_ef3b4c	3cfb731e97921cf209b76631f762f10efff3dabe	test	f1c3276291c678f338daf9b92ad9ae7fbfa3ea73	RDM-Example-Rectangular-Pulse	['git@github.com:cadet/RDM-Example-Rectangular-Pulse.git']	['main.py']		f5ywb884bh4krchb69pytjjbzrranvww	
